ISim log file
Running: C:\Users\uttej\Desktop\My Docs\DSD assignment\assignment2\phase1\Question1\Color2BW_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/uttej/Desktop/My Docs/DSD assignment/assignment2/phase1/Question1/Color2BW_tb_isim_beh.wdb 
INFO: There is another simulation running in the same directory. Using database file name isim1.wdb.
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Red = 50, Green = 5c, Blue = 23
out = 50
out = 4b
out = 49
out = 47
out = 44
out = 44
out = 3e
out = 30
out = 83
out = c5
out = c3
out = a7
out = 80
out = 94
out = 75
out = 8f
out = 8e
out = 3f
out = 2f
out = 5f
out = a9
out = 8a
out = 34
out = 3d
out = 35
# isim set maxtraceablesize 131072
# run 1s
out = 2a
out = 33
out = 37
out = 36
out = 35
out = 4a
out = 4e
out = 3b
out = 5e
out = 81
out = 71
out = 38
out = 1d
out = 29
out = 29
out = 56
out = 73
out = 56
out = 40
out = 64
out = 54
out = 1f
out = 1f
out = 13
out = 04
out = 86
out = b6
out = 66
out = 06
out = 21
out = 1b
out = 15
out = 16
out = 14
out = 15
out = 16
out = 16
out = 17
out = 15
out = 18
out = 20
out = 2a
out = 44
out = 5f
out = 5e
out = 47
out = 30
out = 21
out = 16
out = 0e
out = 0f
out = 12
out = 13
out = 17
out = 22
out = 2e
out = 38
out = 3b
out = 30
out = 22
out = 1a
out = 1e
out = 27
out = 28
out = 12
out = 2d
out = 9c
out = d9
out = a5
out = 3d
out = 23
out = 30
out = 3c
out = 57
out = 74
out = 90
out = 98
out = 8b
out = 7a
out = 6f
out = 7f
out = 90
out = 96
out = 9c
out = 95
out = 96
out = 9e
out = a9
out = ac
out = ac
out = b5
out = c0
out = b3
out = a4
out = a9
out = ab
out = a9
out = b0
out = ae
out = ab
out = c4
out = d7
out = 4a
out = 47
out = 42
out = 40
out = 3f
out = 3c
out = 41
out = 2d
out = 46
out = ad
out = c3
out = b2
out = 97
out = 90
out = 7d
out = 7c
out = a8
out = 6f
out = 2d
out = 42
out = 8b
out = 94
out = 4a
out = 3b
out = 3b
out = 27
out = 2e
out = 3b
out = 37
out = 37
out = 53
out = 4c
out = 59
out = 97
out = aa
out = 79
out = 2f
out = 1e
out = 22
out = 19
out = 3a
out = 43
out = 44
out = 7f
out = a7
out = 92
out = 5a
out = 34
out = 16
out = 15
out = 1e
out = 3f
out = 4b
out = 2a
out = 20
out = 21
out = 10
out = 13
out = 1d
out = 20
out = 1d
out = 17
out = 06
out = 05
out = 1e
out = 20
out = 20
out = 25
out = 2a
out = 2c
out = 23
out = 1e
out = 1a
out = 13
out = 0c
out = 0b
out = 0e
out = 10
out = 11
out = 14
out = 1b
out = 21
out = 24
out = 1c
out = 16
out = 13
out = 0f
out = 05
out = 0c
out = 28
out = 36
out = 43
out = 6e
out = 69
out = 1d
out = 11
out = 28
out = 32
out = 58
out = 6f
out = 7c
out = 80
out = 71
out = 58
out = 5f
out = 6f
out = 7e
out = 8d
out = 97
out = a2
out = aa
out = a9
out = a3
out = a5
out = ab
out = b0
out = b7
out = bc
out = b7
out = af
out = af
out = b2
out = af
out = b1
out = b7
out = b8
out = b8
out = ba
out = 3d
out = 3b
out = 3a
out = 39
out = 3a
out = 3d
out = 3a
out = 2c
out = 89
out = cb
out = b0
out = a1
out = 8d
out = 8e
out = 67
out = 94
out = 98
out = 40
out = 3f
out = 63
out = 7f
out = 5b
out = 36
out = 42
out = 32
out = 29
out = 35
out = 3a
out = 41
out = 45
out = 3e
out = 66
out = a8
out = aa
out = 6b
out = 26
out = 23
out = 1c
out = 21
out = 52
out = 4b
out = 51
out = 99
out = bc
out = 9e
out = 69
out = 44
out = 24
out = 13
out = 14
out = 18
out = 12
out = 05
out = 1a
out = 23
out = 0b
out = 1d
out = 30
out = 2d
out = 27
out = 1e
out = 25
out = 47
out = 56
out = 40
out = 1a
out = 06
out = 05
out = 10
out = 17
out = 18
out = 14
out = 0f
out = 09
out = 08
out = 0a
out = 0c
out = 0e
out = 10
out = 10
out = 12
out = 15
out = 15
out = 15
out = 19
out = 1a
out = 31
out = 4e
out = 54
out = 48
out = 3c
out = 2f
out = 13
out = 01
out = 06
out = 24
out = 3b
out = 57
out = 60
out = 56
out = 4e
out = 48
out = 43
out = 44
out = 5a
out = 6b
out = 70
out = 82
out = 96
out = a1
out = ab
out = b0
out = ab
out = a9
out = a7
out = ac
out = b5
out = bb
out = b2
out = b3
out = bb
out = ae
out = ac
out = b6
out = b5
out = bb
out = ba
out = b0
out = 39
out = 38
out = 39
out = 3a
out = 3d
out = 3f
out = 32
out = 5e
out = bd
out = c6
out = a0
out = 98
out = 96
out = 8c
out = 6b
out = 96
out = 63
out = 31
out = 52
out = 5a
out = 54
out = 40
out = 40
out = 35
out = 2d
out = 2f
out = 2b
out = 36
out = 40
out = 4a
out = 7f
out = a6
out = 92
out = 4c
out = 12
out = 2b
out = 22
out = 42
out = 80
out = 6f
out = 6d
out = ab
out = af
out = 85
out = 56
out = 3c
out = 38
out = 36
out = 1f
out = 0b
out = 13
out = 1f
out = 28
out = 1f
out = 11
out = 44
out = 5c
out = 46
out = 2e
out = 39
out = 5b
out = 7b
out = 7f
out = 57
out = 1b
out = 0d
out = 27
out = 32
out = 2f
out = 22
out = 14
out = 10
out = 0f
out = 11
out = 15
out = 17
out = 16
out = 15
out = 11
out = 0f
out = 0e
out = 14
out = 19
out = 20
out = 3c
out = 58
out = 6b
out = 6b
out = 4a
out = 23
out = 1c
out = 1c
out = 13
out = 1d
out = 28
out = 37
out = 49
out = 46
out = 34
out = 29
out = 31
out = 39
out = 40
out = 4f
out = 5e
out = 60
out = 62
out = 77
out = 95
out = a2
out = aa
out = b4
out = af
out = a5
out = a9
out = b0
out = b2
out = b6
out = ac
out = b2
out = bf
out = b7
out = b0
out = b0
out = b3
out = bf
out = bd
out = a7
out = 3a
out = 3b
out = 3c
out = 3c
out = 40
out = 3c
out = 3a
out = 8b
out = c4
out = b5
out = 9c
out = 98
out = a5
out = 8c
out = 7c
out = 80
out = 32
out = 3b
out = 44
out = 3b
out = 42
out = 4b
out = 39
out = 4b
out = 58
out = 29
out = 45
out = 68
out = 58
out = 95
out = b6
out = 86
out = 3c
out = 1e
out = 2f
out = 1b
out = 5b
out = 9c
out = 88
out = 67
out = 9b
out = 9b
out = 6f
out = 4c
out = 41
out = 52
out = 66
out = 40
out = 0a
out = 10
out = 1b
out = 29
out = 24
out = 37
out = 6e
out = 7f
out = 55
out = 2f
out = 53
out = 7f
out = 8e
out = 78
out = 4a
out = 2b
out = 4e
out = 6a
out = 6c
out = 57
out = 33
out = 18
out = 12
out = 13
out = 1a
out = 21
out = 25
out = 22
out = 1c
out = 1a
out = 17
out = 0f
out = 12
out = 16
out = 1f
out = 40
out = 62
out = 6a
out = 56
out = 30
out = 1e
out = 28
out = 20
out = 18
out = 1d
out = 22
out = 2c
out = 34
out = 2e
out = 29
out = 25
out = 28
out = 30
out = 3a
out = 48
out = 5d
out = 6c
out = 64
out = 5f
out = 76
out = 94
out = a2
out = ab
out = b3
out = b4
out = a6
out = a2
out = a9
out = b2
out = b4
out = a7
out = a9
out = b5
out = ba
out = b1
out = a7
out = b7
out = bf
out = b4
out = a2
out = 3d
out = 3f
out = 3f
out = 3e
out = 43
out = 38
out = 58
out = ab
out = bd
out = b1
out = 9a
out = 9a
out = a5
out = 7c
out = 7b
out = 5e
out = 30
out = 32
out = 32
out = 47
out = 4a
out = 2e
out = 53
out = 72
out = 45
out = 43
out = 6a
out = 5e
out = 7d
out = a6
out = 81
out = 3e
out = 2b
out = 30
out = 2d
out = 66
out = 9c
out = 88
out = 58
out = 7d
out = 7f
out = 60
out = 55
out = 51
out = 61
out = 70
out = 52
out = 1c
out = 10
out = 19
out = 26
out = 2a
out = 50
out = 8c
out = 93
out = 5b
out = 1f
out = 49
out = 75
out = 78
out = 59
out = 30
out = 29
out = 59
out = 76
out = 6a
out = 4a
out = 26
out = 0b
out = 15
out = 1b
out = 16
out = 15
out = 18
out = 23
out = 2f
out = 34
out = 3b
out = 3b
out = 2d
out = 24
out = 25
out = 33
out = 4a
out = 52
out = 3f
out = 23
out = 34
out = 47
out = 35
out = 16
out = 1c
out = 28
out = 33
out = 39
out = 38
out = 39
out = 3e
out = 37
out = 2c
out = 2d
out = 38
out = 4b
out = 69
out = 84
out = 96
out = 9d
out = 8f
out = 8a
out = 9c
out = ac
out = b1
out = b5
out = b1
out = 9c
out = a3
out = b3
out = aa
out = a6
out = ac
out = b0
out = af
out = ab
out = aa
out = af
out = b8
out = b7
out = a9
out = 40
out = 41
out = 41
out = 41
out = 42
out = 3f
out = 71
out = b0
out = c1
out = ac
out = 86
out = 99
out = 99
out = 66
out = 55
out = 45
out = 42
out = 36
out = 59
out = 65
out = 21
out = 59
out = 89
out = 52
out = 4a
out = 71
out = 47
out = 2d
out = 67
out = 66
out = 40
out = 33
out = 31
out = 2f
out = 6b
out = 97
out = 79
out = 39
out = 51
out = 63
out = 4e
out = 61
out = 5c
out = 65
out = 75
out = 52
out = 26
out = 1d
out = 29
out = 2e
out = 26
out = 53
out = 8a
out = 8a
out = 50
out = 1c
out = 29
out = 46
out = 4c
out = 31
out = 19
out = 24
out = 38
out = 49
out = 3f
out = 1f
out = 04
out = 02
out = 19
out = 2c
out = 38
out = 3f
out = 42
out = 4a
out = 50
out = 51
out = 5d
out = 68
out = 5b
out = 48
out = 45
out = 51
out = 51
out = 42
out = 2f
out = 20
out = 2f
out = 40
out = 2e
out = 18
out = 28
out = 37
out = 3f
out = 4a
out = 51
out = 54
out = 4a
out = 32
out = 22
out = 2d
out = 39
out = 42
out = 5f
out = 7e
out = 92
out = a5
out = ba
out = 9a
out = 86
out = 98
out = a9
out = ae
out = b6
out = bc
out = a3
out = a2
out = a9
out = a4
out = a7
out = a4
out = a2
out = a6
out = aa
out = ac
out = b3
out = b7
out = aa
out = a4
out = 42
out = 42
out = 40
out = 43
out = 3f
out = 44
out = 8c
out = ad
out = b0
out = a9
out = 83
out = 94
out = 79
out = 4f
out = 47
out = 45
out = 42
out = 56
out = 74
out = 35
out = 3b
out = 96
out = 6e
out = 44
out = 7d
out = 57
out = 07
out = 2a
out = 39
out = 33
out = 37
out = 3b
out = 47
out = 6a
out = 87
out = 6c
out = 2e
out = 38
out = 3e
out = 46
out = 67
out = 59
out = 46
out = 61
out = 55
out = 31
out = 27
out = 38
out = 48
out = 2e
out = 37
out = 65
out = 69
out = 3d
out = 18
out = 21
out = 26
out = 26
out = 20
out = 1e
out = 20
out = 1f
out = 23
out = 1d
out = 0c
out = 04
out = 0f
out = 1d
out = 32
out = 53
out = 6b
out = 76
out = 74
out = 6d
out = 61
out = 4b
out = 43
out = 46
out = 40
out = 48
out = 54
out = 4f
out = 35
out = 17
out = 17
out = 2d
out = 36
out = 22
out = 15
out = 30
out = 3b
out = 40
out = 46
out = 46
out = 40
out = 34
out = 22
out = 14
out = 23
out = 38
out = 4e
out = 60
out = 73
out = 81
out = 99
out = a8
out = a6
out = 8a
out = 8e
out = a5
out = ae
out = ba
out = c8
out = d3
out = bb
out = a7
out = 9d
out = 9d
out = 9d
out = 9d
out = a0
out = a4
out = ab
out = b0
out = ac
out = ae
out = a5
out = a1
out = 43
out = 42
out = 42
out = 46
out = 3a
out = 5a
out = b0
out = ac
out = 9e
out = a1
out = 84
out = 81
out = 5b
out = 6f
out = 67
out = 38
out = 40
out = 7b
out = 6d
out = 19
out = 81
out = 7a
out = 41
out = 74
out = 64
out = 1b
out = 15
out = 25
out = 25
out = 32
out = 44
out = 4d
out = 6d
out = 80
out = 5c
out = 2a
out = 33
out = 3b
out = 46
out = 6e
out = 65
out = 37
out = 44
out = 42
out = 2f
out = 2f
out = 3d
out = 4c
out = 3c
out = 1f
out = 36
out = 3d
out = 28
out = 22
out = 22
out = 18
out = 1a
out = 1c
out = 19
out = 15
out = 12
out = 16
out = 18
out = 15
out = 12
out = 11
out = 12
out = 1b
out = 2e
out = 45
out = 53
out = 51
out = 44
out = 33
out = 1f
out = 12
out = 14
out = 1f
out = 32
out = 3a
out = 2d
out = 0c
out = 02
out = 17
out = 39
out = 41
out = 2c
out = 31
out = 45
out = 45
out = 34
out = 2f
out = 34
out = 33
out = 2c
out = 20
out = 22
out = 30
out = 41
out = 45
out = 4c
out = 54
out = 57
out = 5e
out = 78
out = 83
out = 79
out = 7d
out = 92
out = a6
out = af
out = b8
out = c4
out = ca
out = b6
out = a5
out = 9d
out = 99
out = 9d
out = a2
out = a1
out = a0
out = a6
out = aa
out = a9
out = a9
out = a6
out = a5
out = 45
out = 44
out = 45
out = 44
out = 3b
out = 77
